,From,To,edge
1431,John Cornyn,Lindsey O. Graham,1
1436,John Cornyn,Jim Inhofe,1
1438,John Cornyn,Tim Scott,1
1442,John Cornyn,Thomas Roland Tillis,1
1447,John Cornyn,Richard Craig Shelby,1
1448,John Cornyn,Ben Sasse,1
1449,John Cornyn,Mitch Mcconnell,1
1451,John Cornyn,David Alfred Perdue,1
1457,Tom Udall,Benjamin L. Cardin,1
1459,Tom Udall,Al Franken,1
1464,Tom Udall,Ron Wyden,1
1465,Tom Udall,Jeff Merkley,1
1474,Tom Udall,Brian Schatz,1
1476,Tom Udall,Richard Blumenthal,1
1477,Tom Udall,Maria Cantwell,1
1478,Tom Udall,Tammy Baldwin,1
1479,Tom Udall,Christopher Murphy,1
1488,Tom Udall,Dianne Feinstein,1
1489,Tom Udall,Martin Heinrich,1
1490,Tom Udall,Edward J. Markey,1
1492,Tom Udall,Kirsten E. Gillibrand,1
1495,Tom Udall,Michael F. Bennet,1
1496,Tom Udall,Patty Murray,1
1499,Tom Udall,Margaret Wood Hassan,1
1500,Tom Udall,Tammy Duckworth,1
1502,Tom Udall,Mazie K. Hirono,1
1509,Tom Udall,Bernard Sanders,1
1512,Tom Udall,Thomas R. Carper,1
1514,Tom Udall,Jon Tester,1
1515,Tom Udall,Jeanne Shaheen,1
1516,Tom Udall,Heidi Heitkamp,1
1522,Tom Udall,Elizabeth A. Warren,1
1523,Tom Udall,Cory A. Booker,1
1525,Tom Udall,Robert Menendez,1
1528,Tom Udall,Richard J. Durbin,1
1529,Tom Udall,Patrick Joseph Leahy,1
1532,Tom Udall,Sheldon Whitehouse,1
1536,Tom Udall,Amy Klobuchar,1
1544,Tom Udall,Charles E. Schumer,1
1545,Tom Udall,John F. Reed,1
1548,Tom Udall,Kamala D. Harris,1
1549,Tom Udall,Chris Van Hollen,1
1554,Tom Udall,Catherine Cortez Masto,1
1556,Tom Udall,Tina Smith,1
1565,Shelley Moore Capito,Jerry Moran,1
1571,Shelley Moore Capito,Angus King,1
1576,Shelley Moore Capito,Deb Fischer,1
1579,Shelley Moore Capito,John Hoeven,1
1584,Shelley Moore Capito,Johnny Isakson,1
1585,Shelley Moore Capito,Rob Portman,1
1591,Shelley Moore Capito,Pat Roberts,1
1595,Shelley Moore Capito,Joni Ernst,1
1605,Shelley Moore Capito,Roger F. Wicker,1
1608,Shelley Moore Capito,John Neely Kennedy,1
1614,Shelley Moore Capito,Joe Manchin,1
1623,Shelley Moore Capito,Dan Sullivan,1
1630,Shelley Moore Capito,Roy Blunt,1
1637,Shelley Moore Capito,Mike Rounds,1
1641,Shelley Moore Capito,John Barrasso,1
1643,Shelley Moore Capito,Thad Cochran,1
1644,Shelley Moore Capito,Jim Inhofe,1
1645,Shelley Moore Capito,John Boozman,1
1655,Shelley Moore Capito,Richard Craig Shelby,1
1662,Shelley Moore Capito,Cindy Hyde-Smith,1
1664,Deb Fischer,Michael B. Enzi,1
1668,Deb Fischer,Michael D. Crapo,1
1669,Deb Fischer,Jerry Moran,1
1670,Deb Fischer,Charles Ernest Grassley,1
1679,Deb Fischer,Shelley Moore Capito,1
1683,Deb Fischer,John Hoeven,1
1688,Deb Fischer,Johnny Isakson,1
1694,Deb Fischer,Steve Daines,1
1695,Deb Fischer,Pat Roberts,1
1699,Deb Fischer,Joni Ernst,1
1701,Deb Fischer,Ron Johnson,1
1705,Deb Fischer,Dean Heller,1
1709,Deb Fischer,Roger F. Wicker,1
1712,Deb Fischer,John Neely Kennedy,1
1713,Deb Fischer,Ted Cruz,1
1727,Deb Fischer,Dan Sullivan,1
1728,Deb Fischer,Bill Cassidy,1
1729,Deb Fischer,James Lankford,1
1732,Deb Fischer,John R. Thune,1
1734,Deb Fischer,Roy Blunt,1
1739,Deb Fischer,Joe Donnelly,1
1741,Deb Fischer,Mike Rounds,1
1742,Deb Fischer,Tom Cotton,1
1745,Deb Fischer,John Barrasso,1
1748,Deb Fischer,Jim Inhofe,1
1749,Deb Fischer,John Boozman,1
1750,Deb Fischer,Tim Scott,1
1754,Deb Fischer,Thomas Roland Tillis,1
1755,Deb Fischer,James E. Risch,1
1759,Deb Fischer,Richard Craig Shelby,1
1760,Deb Fischer,Ben Sasse,1
1766,Deb Fischer,Cindy Hyde-Smith,1
1772,Orrin Grant Hatch,Michael D. Crapo,1
1781,Orrin Grant Hatch,John Cornyn,1
1797,Orrin Grant Hatch,Mike Lee,1
1799,Orrin Grant Hatch,Pat Roberts,1
1816,Orrin Grant Hatch,John Neely Kennedy,1
1852,Orrin Grant Hatch,Jim Inhofe,1
1854,Orrin Grant Hatch,Tim Scott,1
1858,Orrin Grant Hatch,Thomas Roland Tillis,1
1865,Orrin Grant Hatch,Mitch Mcconnell,1
1873,Brian Schatz,Benjamin L. Cardin,1
1879,Brian Schatz,Timothy Kaine,1
1880,Brian Schatz,Ron Wyden,1
1881,Brian Schatz,Jeff Merkley,1
1886,Brian Schatz,Tom Udall,1
1892,Brian Schatz,Richard Blumenthal,1
1893,Brian Schatz,Maria Cantwell,1
1895,Brian Schatz,Christopher Murphy,1
1904,Brian Schatz,Dianne Feinstein,1
1905,Brian Schatz,Martin Heinrich,1
1906,Brian Schatz,Edward J. Markey,1
1908,Brian Schatz,Kirsten E. Gillibrand,1
1912,Brian Schatz,Patty Murray,1
1916,Brian Schatz,Tammy Duckworth,1
1918,Brian Schatz,Mazie K. Hirono,1
1924,Brian Schatz,Gary C. Peters,1
1925,Brian Schatz,Bernard Sanders,1
1928,Brian Schatz,Thomas R. Carper,1
1938,Brian Schatz,Elizabeth A. Warren,1
1939,Brian Schatz,Cory A. Booker,1
1941,Brian Schatz,Robert Menendez,1
1944,Brian Schatz,Richard J. Durbin,1
1945,Brian Schatz,Patrick Joseph Leahy,1
1948,Brian Schatz,Sheldon Whitehouse,1
1960,Brian Schatz,Charles E. Schumer,1
1961,Brian Schatz,John F. Reed,1
1964,Brian Schatz,Kamala D. Harris,1
1965,Brian Schatz,Chris Van Hollen,1
1970,Brian Schatz,Catherine Cortez Masto,1
1976,John Hoeven,Michael B. Enzi,1
1980,John Hoeven,Michael D. Crapo,1
1981,John Hoeven,Jerry Moran,1
1991,John Hoeven,Shelley Moore Capito,1
1992,John Hoeven,Deb Fischer,1
2000,John Hoeven,Johnny Isakson,1
2001,John Hoeven,Rob Portman,1
2006,John Hoeven,Steve Daines,1
2007,John Hoeven,Pat Roberts,1
2011,John Hoeven,Joni Ernst,1
2021,John Hoeven,Roger F. Wicker,1
2024,John Hoeven,John Neely Kennedy,1
2031,John Hoeven,Pat Toomey,1
2036,John Hoeven,Heidi Heitkamp,1
2039,John Hoeven,Dan Sullivan,1
2041,John Hoeven,James Lankford,1
2044,John Hoeven,John R. Thune,1
2046,John Hoeven,Roy Blunt,1
2050,John Hoeven,Todd C. Young,1
2051,John Hoeven,Joe Donnelly,1
2053,John Hoeven,Mike Rounds,1
2054,John Hoeven,Tom Cotton,1
2057,John Hoeven,John Barrasso,1
2060,John Hoeven,Jim Inhofe,1
2061,John Hoeven,John Boozman,1
2062,John Hoeven,Tim Scott,1
2066,John Hoeven,Thomas Roland Tillis,1
2067,John Hoeven,James E. Risch,1
2070,John Hoeven,Bob Corker,1
2071,John Hoeven,Richard Craig Shelby,1
2072,John Hoeven,Ben Sasse,1
2078,John Hoeven,Cindy Hyde-Smith,1
2081,Richard Blumenthal,Benjamin L. Cardin,1
2083,Richard Blumenthal,Al Franken,1
2087,Richard Blumenthal,Timothy Kaine,1
2088,Richard Blumenthal,Ron Wyden,1
2089,Richard Blumenthal,Jeff Merkley,1
2091,Richard Blumenthal,Angus King,1
2094,Richard Blumenthal,Tom Udall,1
2098,Richard Blumenthal,Brian Schatz,1
2101,Richard Blumenthal,Maria Cantwell,1
2102,Richard Blumenthal,Tammy Baldwin,1
2103,Richard Blumenthal,Christopher Murphy,1
2107,Richard Blumenthal,Bob Casey,1
2112,Richard Blumenthal,Dianne Feinstein,1
2114,Richard Blumenthal,Edward J. Markey,1
2116,Richard Blumenthal,Kirsten E. Gillibrand,1
2119,Richard Blumenthal,Michael F. Bennet,1
2120,Richard Blumenthal,Patty Murray,1
2123,Richard Blumenthal,Margaret Wood Hassan,1
2124,Richard Blumenthal,Tammy Duckworth,1
2126,Richard Blumenthal,Mazie K. Hirono,1
2127,Richard Blumenthal,Clarence William Nelson,1
2130,Richard Blumenthal,Sherrod Brown,1
2132,Richard Blumenthal,Gary C. Peters,1
2133,Richard Blumenthal,Bernard Sanders,1
2136,Richard Blumenthal,Thomas R. Carper,1
2137,Richard Blumenthal,Christopher A. Coons,1
2139,Richard Blumenthal,Jeanne Shaheen,1
2146,Richard Blumenthal,Elizabeth A. Warren,1
2147,Richard Blumenthal,Cory A. Booker,1
2149,Richard Blumenthal,Robert Menendez,1
2152,Richard Blumenthal,Richard J. Durbin,1
2153,Richard Blumenthal,Patrick Joseph Leahy,1
2156,Richard Blumenthal,Sheldon Whitehouse,1
2160,Richard Blumenthal,Amy Klobuchar,1
2162,Richard Blumenthal,Deborah Ann Stabenow,1
2168,Richard Blumenthal,Charles E. Schumer,1
2169,Richard Blumenthal,John F. Reed,1
2172,Richard Blumenthal,Kamala D. Harris,1
2173,Richard Blumenthal,Chris Van Hollen,1
2178,Richard Blumenthal,Catherine Cortez Masto,1
2180,Richard Blumenthal,Tina Smith,1
2185,Maria Cantwell,Benjamin L. Cardin,1
2191,Maria Cantwell,Timothy Kaine,1
2192,Maria Cantwell,Ron Wyden,1
2193,Maria Cantwell,Jeff Merkley,1
2195,Maria Cantwell,Angus King,1
2196,Maria Cantwell,Lisa Murkowski,1
2198,Maria Cantwell,Tom Udall,1
2202,Maria Cantwell,Brian Schatz,1
2204,Maria Cantwell,Richard Blumenthal,1
2206,Maria Cantwell,Tammy Baldwin,1
2207,Maria Cantwell,Christopher Murphy,1
2211,Maria Cantwell,Bob Casey,1
2216,Maria Cantwell,Dianne Feinstein,1
2217,Maria Cantwell,Martin Heinrich,1
2218,Maria Cantwell,Edward J. Markey,1
2220,Maria Cantwell,Kirsten E. Gillibrand,1
2223,Maria Cantwell,Michael F. Bennet,1
2224,Maria Cantwell,Patty Murray,1
2227,Maria Cantwell,Margaret Wood Hassan,1
2228,Maria Cantwell,Tammy Duckworth,1
2230,Maria Cantwell,Mazie K. Hirono,1
2231,Maria Cantwell,Clarence William Nelson,1
2234,Maria Cantwell,Sherrod Brown,1
2236,Maria Cantwell,Gary C. Peters,1
2237,Maria Cantwell,Bernard Sanders,1
2240,Maria Cantwell,Thomas R. Carper,1
2241,Maria Cantwell,Christopher A. Coons,1
2243,Maria Cantwell,Jeanne Shaheen,1
2250,Maria Cantwell,Elizabeth A. Warren,1
2251,Maria Cantwell,Cory A. Booker,1
2253,Maria Cantwell,Robert Menendez,1
2255,Maria Cantwell,Mark R. Warner,1
2256,Maria Cantwell,Richard J. Durbin,1
2257,Maria Cantwell,Patrick Joseph Leahy,1
2260,Maria Cantwell,Sheldon Whitehouse,1
2264,Maria Cantwell,Amy Klobuchar,1
2266,Maria Cantwell,Deborah Ann Stabenow,1
2272,Maria Cantwell,Charles E. Schumer,1
2273,Maria Cantwell,John F. Reed,1
2276,Maria Cantwell,Kamala D. Harris,1
2277,Maria Cantwell,Chris Van Hollen,1
2282,Maria Cantwell,Catherine Cortez Masto,1
2284,Maria Cantwell,Tina Smith,1
2289,Tammy Baldwin,Benjamin L. Cardin,1
2291,Tammy Baldwin,Al Franken,1
2295,Tammy Baldwin,Timothy Kaine,1
2296,Tammy Baldwin,Ron Wyden,1
2297,Tammy Baldwin,Jeff Merkley,1
2299,Tammy Baldwin,Angus King,1
2302,Tammy Baldwin,Tom Udall,1
2308,Tammy Baldwin,Richard Blumenthal,1
2309,Tammy Baldwin,Maria Cantwell,1
2311,Tammy Baldwin,Christopher Murphy,1
2315,Tammy Baldwin,Bob Casey,1
2320,Tammy Baldwin,Dianne Feinstein,1
2321,Tammy Baldwin,Martin Heinrich,1
2322,Tammy Baldwin,Edward J. Markey,1
2324,Tammy Baldwin,Kirsten E. Gillibrand,1
2327,Tammy Baldwin,Michael F. Bennet,1
2328,Tammy Baldwin,Patty Murray,1
2331,Tammy Baldwin,Margaret Wood Hassan,1
2332,Tammy Baldwin,Tammy Duckworth,1
2334,Tammy Baldwin,Mazie K. Hirono,1
2338,Tammy Baldwin,Sherrod Brown,1
2340,Tammy Baldwin,Gary C. Peters,1
2341,Tammy Baldwin,Bernard Sanders,1
2344,Tammy Baldwin,Thomas R. Carper,1
2345,Tammy Baldwin,Christopher A. Coons,1
2346,Tammy Baldwin,Jon Tester,1
2347,Tammy Baldwin,Jeanne Shaheen,1
2354,Tammy Baldwin,Elizabeth A. Warren,1
2355,Tammy Baldwin,Cory A. Booker,1
2357,Tammy Baldwin,Robert Menendez,1
2360,Tammy Baldwin,Richard J. Durbin,1
2361,Tammy Baldwin,Patrick Joseph Leahy,1
2363,Tammy Baldwin,Joe Donnelly,1
2364,Tammy Baldwin,Sheldon Whitehouse,1
2368,Tammy Baldwin,Amy Klobuchar,1
2370,Tammy Baldwin,Deborah Ann Stabenow,1
2376,Tammy Baldwin,Charles E. Schumer,1
