From,To,edge
Bernard Sanders,Benjamin L. Cardin,1
Bernard Sanders,Timothy Kaine,1
Bernard Sanders,Brian Schatz,1
Bernard Sanders,Patty Murray,1
Bernard Sanders,Ron Wyden,1
Bernard Sanders,Margaret Wood Hassan,1
Bernard Sanders,Tina Smith,1
Bernard Sanders,Mazie K. Hirono,1
Bernard Sanders,Martin Heinrich,1
Bernard Sanders,Michael F. Bennet,1
Bernard Sanders,Kirsten E. Gillibrand,1
Bernard Sanders,Amy Klobuchar,1
Bernard Sanders,Patrick Joseph Leahy,1
Bernard Sanders,Dianne Feinstein,1
Bernard Sanders,John F. Reed,1
Bernard Sanders,Maria Cantwell,1
Bernard Sanders,Thomas R. Carper,1
Bernard Sanders,Jacklyn Rosen,1
Todd Young,Marco Rubio,1
Todd Young,Mike Braun,1
Todd Young,Tim Scott,1
Todd Young,John Boozman,1
Todd Young,Mitt Romney,1
Todd Young,Lindsey O. Graham,1
Mitch Mcconnell,Richard Craig Shelby,1
Edward J. Markey,Jeff Merkley,1
Edward J. Markey,Elizabeth A. Warren,1
Edward J. Markey,Sheldon Whitehouse,1
Edward J. Markey,Tammy Baldwin,1
Edward J. Markey,Deborah Ann Stabenow,1
Edward J. Markey,Tammy Duckworth,1
Edward J. Markey,Richard J. Durbin,1
Edward J. Markey,Cory A. Booker,1
Edward J. Markey,Bernard Sanders,1
Edward J. Markey,Robert Menendez,1
Edward J. Markey,Bob Casey,1
Edward J. Markey,Sherrod Brown,1
Edward J. Markey,Tom Udall,1
Edward J. Markey,Charles E. Schumer,1
Edward J. Markey,Catherine Cortez Masto,1
Edward J. Markey,Richard Blumenthal,1
Edward J. Markey,Jeanne Shaheen,1
Edward J. Markey,Christopher A. Coons,1
Edward J. Markey,Kamala D. Harris,1
Edward J. Markey,Chris Van Hollen,1
Edward J. Markey,Christopher Murphy,1
Edward J. Markey,Benjamin L. Cardin,1
Edward J. Markey,Timothy Kaine,1
Edward J. Markey,Brian Schatz,1
Edward J. Markey,Patty Murray,1
Edward J. Markey,Ron Wyden,1
Edward J. Markey,Tina Smith,1
Edward J. Markey,Mazie K. Hirono,1
Edward J. Markey,Martin Heinrich,1
Edward J. Markey,Michael F. Bennet,1
Edward J. Markey,Kirsten E. Gillibrand,1
Edward J. Markey,Amy Klobuchar,1
Edward J. Markey,Patrick Joseph Leahy,1
Edward J. Markey,Dianne Feinstein,1
Edward J. Markey,John F. Reed,1
Edward J. Markey,Maria Cantwell,1
Edward J. Markey,Thomas R. Carper,1
Edward J. Markey,Jacklyn Rosen,1
Robert Menendez,Jeff Merkley,1
Robert Menendez,Gary C. Peters,1
Robert Menendez,Elizabeth A. Warren,1
Robert Menendez,Sheldon Whitehouse,1
Robert Menendez,Tammy Baldwin,1
Robert Menendez,Deborah Ann Stabenow,1
Robert Menendez,Tammy Duckworth,1
Robert Menendez,Richard J. Durbin,1
Robert Menendez,Cory A. Booker,1
Robert Menendez,Bernard Sanders,1
Robert Menendez,Edward J. Markey,1
Robert Menendez,Bob Casey,1
Robert Menendez,Sherrod Brown,1
Robert Menendez,Tom Udall,1
Robert Menendez,Charles E. Schumer,1
Robert Menendez,Catherine Cortez Masto,1
Robert Menendez,Richard Blumenthal,1
Robert Menendez,Jeanne Shaheen,1
Robert Menendez,Christopher A. Coons,1
Robert Menendez,Kamala D. Harris,1
Robert Menendez,Chris Van Hollen,1
