From,To,edge
Steve Daines,James Lankford,1
Steve Daines,Joni Ernst,1
Steve Daines,Thomas Roland Tillis,1
Steve Daines,Shelley Moore Capito,1
Steve Daines,Kevin Cramer,1
Steve Daines,John Hoeven,1
Steve Daines,Richard Craig Shelby,1
Steve Daines,Rick Scott,1
Steve Daines,John Boozman,1
Steve Daines,Bill Cassidy,1
Steve Daines,Mitt Romney,1
Steve Daines,Jim Inhofe,1
Steve Daines,Ben Sasse,1
Steve Daines,Jerry Moran,1
Steve Daines,Pat Toomey,1
Steve Daines,Lamar Alexander,1
Steve Daines,James E. Risch,1
Margaret Wood Hassan,Gary C. Peters,1
Margaret Wood Hassan,Elizabeth A. Warren,1
Margaret Wood Hassan,Sheldon Whitehouse,1
Margaret Wood Hassan,Tammy Baldwin,1
Margaret Wood Hassan,Angus King,1
Margaret Wood Hassan,Joe Manchin,1
Margaret Wood Hassan,Deborah Ann Stabenow,1
Margaret Wood Hassan,Tammy Duckworth,1
Margaret Wood Hassan,Doug Jones,1
Margaret Wood Hassan,Bernard Sanders,1
Margaret Wood Hassan,Bob Casey,1
Margaret Wood Hassan,Sherrod Brown,1
Margaret Wood Hassan,Charles E. Schumer,1
Margaret Wood Hassan,Catherine Cortez Masto,1
Margaret Wood Hassan,Jon Tester,1
Margaret Wood Hassan,Richard Blumenthal,1
Margaret Wood Hassan,Jeanne Shaheen,1
Margaret Wood Hassan,Christopher A. Coons,1
Margaret Wood Hassan,Chris Van Hollen,1
Margaret Wood Hassan,Christopher Murphy,1
Margaret Wood Hassan,Mark R. Warner,1
Margaret Wood Hassan,Benjamin L. Cardin,1
Margaret Wood Hassan,Timothy Kaine,1
Margaret Wood Hassan,Patty Murray,1
Margaret Wood Hassan,Susan Margaret Collins,1
Margaret Wood Hassan,Tina Smith,1
Margaret Wood Hassan,Mazie K. Hirono,1
Margaret Wood Hassan,Martin Heinrich,1
Margaret Wood Hassan,Michael F. Bennet,1
Margaret Wood Hassan,Kirsten E. Gillibrand,1
Margaret Wood Hassan,Amy Klobuchar,1
Margaret Wood Hassan,Patrick Joseph Leahy,1
Margaret Wood Hassan,Dianne Feinstein,1
Margaret Wood Hassan,John F. Reed,1
Margaret Wood Hassan,Maria Cantwell,1
Margaret Wood Hassan,Thomas R. Carper,1
Margaret Wood Hassan,Kyrsten Sinema,1
Margaret Wood Hassan,Jacklyn Rosen,1
James Lankford,John R. Thune,1
James Lankford,Michael D. Crapo,1
James Lankford,Tom Cotton,1
James Lankford,John Cornyn,1
James Lankford,Ted Cruz,1
James Lankford,Josh Hawley,1
James Lankford,Mike Rounds,1
James Lankford,John Barrasso,1
James Lankford,Deb Fischer,1
James Lankford,Marsha Blackburn,1
James Lankford,Cindy Hyde-Smith,1
James Lankford,Roy Blunt,1
James Lankford,Mike Braun,1
James Lankford,David Alfred Perdue,1
James Lankford,Pat Roberts,1
James Lankford,Michael B. Enzi,1
James Lankford,Charles Ernest Grassley,1
James Lankford,Tim Scott,1
James Lankford,Steve Daines,1
James Lankford,Joni Ernst,1
James Lankford,Thomas Roland Tillis,1
James Lankford,Ron Johnson,1
James Lankford,Kevin Cramer,1
James Lankford,John Hoeven,1
James Lankford,John Boozman,1
James Lankford,Bill Cassidy,1
James Lankford,Mitt Romney,1
James Lankford,Jim Inhofe,1
James Lankford,Ben Sasse,1
James Lankford,Jerry Moran,1
James Lankford,Pat Toomey,1
James Lankford,James E. Risch,1
James Lankford,Kelly Loeffler,1
Joni Ernst,John R. Thune,1
Joni Ernst,Michael D. Crapo,1
Joni Ernst,Tom Cotton,1
Joni Ernst,John Cornyn,1
Joni Ernst,Josh Hawley,1
Joni Ernst,Mike Rounds,1
Joni Ernst,John Barrasso,1
Joni Ernst,Deb Fischer,1
Joni Ernst,Marsha Blackburn,1
Joni Ernst,Cindy Hyde-Smith,1
Joni Ernst,Roy Blunt,1
Joni Ernst,Mike Braun,1
Joni Ernst,Roger F. Wicker,1
Joni Ernst,David Alfred Perdue,1
Joni Ernst,Pat Roberts,1
Joni Ernst,Michael B. Enzi,1
Joni Ernst,Charles Ernest Grassley,1
Joni Ernst,Tim Scott,1
Joni Ernst,John Neely Kennedy,1
Joni Ernst,Steve Daines,1
Joni Ernst,James Lankford,1
Joni Ernst,Thomas Roland Tillis,1
Joni Ernst,Shelley Moore Capito,1
Joni Ernst,Kevin Cramer,1
Joni Ernst,John Hoeven,1
Joni Ernst,Richard Craig Shelby,1
Joni Ernst,John Boozman,1
Joni Ernst,Jim Inhofe,1
Joni Ernst,Ben Sasse,1
Joni Ernst,Jerry Moran,1
Joni Ernst,Lamar Alexander,1
Joni Ernst,James E. Risch,1
Joni Ernst,Kelly Loeffler,1
Tina Smith,Jeff Merkley,1
Tina Smith,Gary C. Peters,1
Tina Smith,Elizabeth A. Warren,1
Tina Smith,Sheldon Whitehouse,1
Tina Smith,Tammy Baldwin,1
Tina Smith,Angus King,1
Tina Smith,Deborah Ann Stabenow,1
Tina Smith,Tammy Duckworth,1
Tina Smith,Richard J. Durbin,1
Tina Smith,Cory A. Booker,1
Tina Smith,Doug Jones,1
Tina Smith,Bernard Sanders,1
Tina Smith,Edward J. Markey,1
Tina Smith,Robert Menendez,1
Tina Smith,Bob Casey,1
Tina Smith,Sherrod Brown,1
Tina Smith,Tom Udall,1
Tina Smith,Charles E. Schumer,1
Tina Smith,Catherine Cortez Masto,1
Tina Smith,Jon Tester,1
Tina Smith,Richard Blumenthal,1
Tina Smith,Jeanne Shaheen,1
Tina Smith,Christopher A. Coons,1
Tina Smith,Kamala D. Harris,1
Tina Smith,Chris Van Hollen,1
Tina Smith,Christopher Murphy,1
Tina Smith,Mark R. Warner,1
Tina Smith,Benjamin L. Cardin,1
Tina Smith,Timothy Kaine,1
Tina Smith,Brian Schatz,1
Tina Smith,Patty Murray,1
Tina Smith,Ron Wyden,1
Tina Smith,Margaret Wood Hassan,1
Tina Smith,Mazie K. Hirono,1
Tina Smith,Martin Heinrich,1
Tina Smith,Michael F. Bennet,1
Tina Smith,Kirsten E. Gillibrand,1
Tina Smith,Amy Klobuchar,1
Tina Smith,Patrick Joseph Leahy,1
Tina Smith,Dianne Feinstein,1
Tina Smith,John F. Reed,1
Tina Smith,Maria Cantwell,1
Tina Smith,Thomas R. Carper,1
Tina Smith,Jacklyn Rosen,1
Thomas Roland Tillis,Marco Rubio,1
Thomas Roland Tillis,John R. Thune,1
Thomas Roland Tillis,Michael D. Crapo,1
Thomas Roland Tillis,Tom Cotton,1
Thomas Roland Tillis,Richard Burr,1
Thomas Roland Tillis,John Cornyn,1
Thomas Roland Tillis,Ted Cruz,1
Thomas Roland Tillis,Josh Hawley,1
Thomas Roland Tillis,Mike Rounds,1
Thomas Roland Tillis,John Barrasso,1
Thomas Roland Tillis,Deb Fischer,1
Thomas Roland Tillis,Marsha Blackburn,1
Thomas Roland Tillis,Cindy Hyde-Smith,1
Thomas Roland Tillis,Martha Mcsally,1
Thomas Roland Tillis,Roy Blunt,1
Thomas Roland Tillis,Mike Braun,1
Thomas Roland Tillis,Roger F. Wicker,1
Thomas Roland Tillis,Dan Sullivan,1
Thomas Roland Tillis,David Alfred Perdue,1
Thomas Roland Tillis,Pat Roberts,1
Thomas Roland Tillis,Charles Ernest Grassley,1
Thomas Roland Tillis,Tim Scott,1
Thomas Roland Tillis,Steve Daines,1
Thomas Roland Tillis,James Lankford,1
Thomas Roland Tillis,Joni Ernst,1
Thomas Roland Tillis,Shelley Moore Capito,1
Thomas Roland Tillis,Kevin Cramer,1
Thomas Roland Tillis,John Hoeven,1
Thomas Roland Tillis,Richard Craig Shelby,1
Thomas Roland Tillis,Rick Scott,1
Thomas Roland Tillis,John Boozman,1
Thomas Roland Tillis,Bill Cassidy,1
Thomas Roland Tillis,Jim Inhofe,1
Thomas Roland Tillis,Jerry Moran,1
Thomas Roland Tillis,Pat Toomey,1
Thomas Roland Tillis,Lindsey O. Graham,1
Thomas Roland Tillis,James E. Risch,1
Thomas Roland Tillis,Kelly Loeffler,1
Shelley Moore Capito,Michael D. Crapo,1
Shelley Moore Capito,Joe Manchin,1
Shelley Moore Capito,Richard Burr,1
Shelley Moore Capito,Mike Rounds,1
Shelley Moore Capito,John Barrasso,1
Shelley Moore Capito,Deb Fischer,1
Shelley Moore Capito,Marsha Blackburn,1
Shelley Moore Capito,Cindy Hyde-Smith,1
Shelley Moore Capito,Martha Mcsally,1
Shelley Moore Capito,Roy Blunt,1
Shelley Moore Capito,Roger F. Wicker,1
Shelley Moore Capito,Dan Sullivan,1
Shelley Moore Capito,David Alfred Perdue,1
Shelley Moore Capito,Pat Roberts,1
Shelley Moore Capito,Michael B. Enzi,1
Shelley Moore Capito,Tim Scott,1
Shelley Moore Capito,Susan Margaret Collins,1
Shelley Moore Capito,Steve Daines,1
Shelley Moore Capito,Joni Ernst,1
Shelley Moore Capito,Thomas Roland Tillis,1
Shelley Moore Capito,Kevin Cramer,1
Shelley Moore Capito,John Hoeven,1
Shelley Moore Capito,Richard Craig Shelby,1
Shelley Moore Capito,John Boozman,1
Shelley Moore Capito,Jim Inhofe,1
Shelley Moore Capito,Jerry Moran,1
Shelley Moore Capito,Pat Toomey,1
Shelley Moore Capito,Kyrsten Sinema,1
Shelley Moore Capito,James E. Risch,1
Shelley Moore Capito,Johnny Isakson,1
Ron Johnson,John R. Thune,1
Ron Johnson,Tom Cotton,1
Ron Johnson,Ted Cruz,1
Ron Johnson,John Barrasso,1
Ron Johnson,Deb Fischer,1
Ron Johnson,Mike Braun,1
Ron Johnson,David Alfred Perdue,1
Ron Johnson,Michael B. Enzi,1
Ron Johnson,James Lankford,1
Ron Johnson,Richard Craig Shelby,1
Ron Johnson,Mitt Romney,1
Ron Johnson,Jim Inhofe,1
Ron Johnson,Pat Toomey,1
Ron Johnson,James E. Risch,1
Mazie K. Hirono,Jeff Merkley,1
Mazie K. Hirono,Gary C. Peters,1
Mazie K. Hirono,Elizabeth A. Warren,1
Mazie K. Hirono,Sheldon Whitehouse,1
Mazie K. Hirono,Tammy Baldwin,1
Mazie K. Hirono,Angus King,1
Mazie K. Hirono,Deborah Ann Stabenow,1
Mazie K. Hirono,Tammy Duckworth,1
Mazie K. Hirono,Richard J. Durbin,1
Mazie K. Hirono,Cory A. Booker,1
Mazie K. Hirono,Bernard Sanders,1
Mazie K. Hirono,Edward J. Markey,1
Mazie K. Hirono,Robert Menendez,1
Mazie K. Hirono,Bob Casey,1
Mazie K. Hirono,Sherrod Brown,1
Mazie K. Hirono,Tom Udall,1
Mazie K. Hirono,Charles E. Schumer,1
Mazie K. Hirono,Catherine Cortez Masto,1
Mazie K. Hirono,Richard Blumenthal,1
Mazie K. Hirono,Jeanne Shaheen,1
Mazie K. Hirono,Christopher A. Coons,1
Mazie K. Hirono,Kamala D. Harris,1
Mazie K. Hirono,Chris Van Hollen,1
Mazie K. Hirono,Christopher Murphy,1
Mazie K. Hirono,Mark R. Warner,1
Mazie K. Hirono,Benjamin L. Cardin,1
Mazie K. Hirono,Timothy Kaine,1
Mazie K. Hirono,Brian Schatz,1
Mazie K. Hirono,Patty Murray,1
Mazie K. Hirono,Ron Wyden,1
Mazie K. Hirono,Margaret Wood Hassan,1
Mazie K. Hirono,Tina Smith,1
Mazie K. Hirono,Martin Heinrich,1
Mazie K. Hirono,Michael F. Bennet,1
Mazie K. Hirono,Kirsten E. Gillibrand,1
Mazie K. Hirono,Amy Klobuchar,1
Mazie K. Hirono,Patrick Joseph Leahy,1
Mazie K. Hirono,Dianne Feinstein,1
Mazie K. Hirono,John F. Reed,1
Mazie K. Hirono,Maria Cantwell,1
Mazie K. Hirono,Thomas R. Carper,1
Mazie K. Hirono,Jacklyn Rosen,1
Kevin Cramer,John R. Thune,1
Kevin Cramer,Michael D. Crapo,1
Kevin Cramer,Tom Cotton,1
Kevin Cramer,John Cornyn,1
Kevin Cramer,Ted Cruz,1
Kevin Cramer,Josh Hawley,1
Kevin Cramer,Mike Rounds,1
Kevin Cramer,John Barrasso,1
Kevin Cramer,Deb Fischer,1
Kevin Cramer,Marsha Blackburn,1
Kevin Cramer,Cindy Hyde-Smith,1
Kevin Cramer,Martha Mcsally,1
Kevin Cramer,Roy Blunt,1
Kevin Cramer,Mike Braun,1
Kevin Cramer,Roger F. Wicker,1
Kevin Cramer,Dan Sullivan,1
Kevin Cramer,David Alfred Perdue,1
Kevin Cramer,Pat Roberts,1
Kevin Cramer,Michael B. Enzi,1
Kevin Cramer,Tim Scott,1
Kevin Cramer,John Neely Kennedy,1
Kevin Cramer,Steve Daines,1
Kevin Cramer,James Lankford,1
Kevin Cramer,Joni Ernst,1
Kevin Cramer,Thomas Roland Tillis,1
Kevin Cramer,Shelley Moore Capito,1
Kevin Cramer,John Hoeven,1
Kevin Cramer,Richard Craig Shelby,1
Kevin Cramer,John Boozman,1
Kevin Cramer,Bill Cassidy,1
Kevin Cramer,Lisa Murkowski,1
Kevin Cramer,Jim Inhofe,1
Kevin Cramer,Ben Sasse,1
Kevin Cramer,Jerry Moran,1
Kevin Cramer,Pat Toomey,1
Kevin Cramer,Kyrsten Sinema,1
Kevin Cramer,James E. Risch,1
Kevin Cramer,Kelly Loeffler,1
John Hoeven,John R. Thune,1
John Hoeven,Michael D. Crapo,1
John Hoeven,Tom Cotton,1
John Hoeven,John Cornyn,1
John Hoeven,Josh Hawley,1
John Hoeven,Mike Rounds,1
John Hoeven,John Barrasso,1
John Hoeven,Deb Fischer,1
John Hoeven,Jon Tester,1
John Hoeven,Marsha Blackburn,1
John Hoeven,Cindy Hyde-Smith,1
John Hoeven,Martha Mcsally,1
John Hoeven,Roy Blunt,1
John Hoeven,Mike Braun,1
John Hoeven,Roger F. Wicker,1
John Hoeven,Dan Sullivan,1
John Hoeven,David Alfred Perdue,1
John Hoeven,Pat Roberts,1
John Hoeven,Michael B. Enzi,1
John Hoeven,Tim Scott,1
John Hoeven,John Neely Kennedy,1
John Hoeven,Steve Daines,1
John Hoeven,James Lankford,1
John Hoeven,Joni Ernst,1
John Hoeven,Thomas Roland Tillis,1
John Hoeven,Shelley Moore Capito,1
John Hoeven,Kevin Cramer,1
John Hoeven,Richard Craig Shelby,1
John Hoeven,John Boozman,1
John Hoeven,Mitt Romney,1
John Hoeven,Jim Inhofe,1
John Hoeven,Jerry Moran,1
John Hoeven,Pat Toomey,1
John Hoeven,James E. Risch,1
John Hoeven,Johnny Isakson,1
Martin Heinrich,Jeff Merkley,1
Martin Heinrich,Gary C. Peters,1
Martin Heinrich,Elizabeth A. Warren,1
Martin Heinrich,Sheldon Whitehouse,1
Martin Heinrich,Tammy Baldwin,1
Martin Heinrich,Angus King,1
Martin Heinrich,Deborah Ann Stabenow,1
Martin Heinrich,Tammy Duckworth,1
Martin Heinrich,Richard J. Durbin,1
Martin Heinrich,Cory A. Booker,1
Martin Heinrich,Bernard Sanders,1
Martin Heinrich,Edward J. Markey,1
Martin Heinrich,Robert Menendez,1
Martin Heinrich,Sherrod Brown,1
Martin Heinrich,Tom Udall,1
Martin Heinrich,Charles E. Schumer,1
Martin Heinrich,Catherine Cortez Masto,1
Martin Heinrich,Jon Tester,1
Martin Heinrich,Richard Blumenthal,1
Martin Heinrich,Kamala D. Harris,1
Martin Heinrich,Chris Van Hollen,1
Martin Heinrich,Christopher Murphy,1
Martin Heinrich,Mark R. Warner,1
Martin Heinrich,Benjamin L. Cardin,1
Martin Heinrich,Timothy Kaine,1
Martin Heinrich,Brian Schatz,1
Martin Heinrich,Patty Murray,1
Martin Heinrich,Ron Wyden,1
Martin Heinrich,Margaret Wood Hassan,1
Martin Heinrich,Tina Smith,1
Martin Heinrich,Mazie K. Hirono,1
Martin Heinrich,Michael F. Bennet,1
Martin Heinrich,Kirsten E. Gillibrand,1
Martin Heinrich,Amy Klobuchar,1
Martin Heinrich,Patrick Joseph Leahy,1
Martin Heinrich,Dianne Feinstein,1
Martin Heinrich,John F. Reed,1
Martin Heinrich,Maria Cantwell,1
Martin Heinrich,Thomas R. Carper,1
Martin Heinrich,Jacklyn Rosen,1
Richard Craig Shelby,Marco Rubio,1
Richard Craig Shelby,John R. Thune,1
Richard Craig Shelby,Michael D. Crapo,1
Richard Craig Shelby,Tom Cotton,1
Richard Craig Shelby,Richard Burr,1
Richard Craig Shelby,Mitch Mcconnell,1
Richard Craig Shelby,John Cornyn,1
Richard Craig Shelby,Ted Cruz,1
Richard Craig Shelby,Josh Hawley,1
Richard Craig Shelby,Rob Portman,1
Richard Craig Shelby,Mike Rounds,1
Richard Craig Shelby,John Barrasso,1
Richard Craig Shelby,Deb Fischer,1
Richard Craig Shelby,Marsha Blackburn,1
Richard Craig Shelby,Cindy Hyde-Smith,1
Richard Craig Shelby,Roy Blunt,1
Richard Craig Shelby,Mike Braun,1
Richard Craig Shelby,Roger F. Wicker,1
Richard Craig Shelby,Dan Sullivan,1
Richard Craig Shelby,David Alfred Perdue,1
Richard Craig Shelby,Pat Roberts,1
Richard Craig Shelby,Michael B. Enzi,1
Richard Craig Shelby,Charles Ernest Grassley,1
Richard Craig Shelby,Tim Scott,1
Richard Craig Shelby,John Neely Kennedy,1
Richard Craig Shelby,Steve Daines,1
Richard Craig Shelby,Joni Ernst,1
Richard Craig Shelby,Thomas Roland Tillis,1
Richard Craig Shelby,Shelley Moore Capito,1
Richard Craig Shelby,Ron Johnson,1
Richard Craig Shelby,Kevin Cramer,1
Richard Craig Shelby,John Hoeven,1
Richard Craig Shelby,Rick Scott,1
Richard Craig Shelby,John Boozman,1
Richard Craig Shelby,Bill Cassidy,1
Richard Craig Shelby,Mitt Romney,1
Richard Craig Shelby,Jim Inhofe,1
Richard Craig Shelby,Ben Sasse,1
Richard Craig Shelby,Jerry Moran,1
Richard Craig Shelby,Pat Toomey,1
Richard Craig Shelby,Lamar Alexander,1
Richard Craig Shelby,Lindsey O. Graham,1
Richard Craig Shelby,James E. Risch,1
Rick Scott,Marco Rubio,1
Rick Scott,Tom Cotton,1
Rick Scott,John Cornyn,1
Rick Scott,Ted Cruz,1
Rick Scott,Josh Hawley,1
Rick Scott,Mike Rounds,1
Rick Scott,Deb Fischer,1
Rick Scott,Marsha Blackburn,1
Rick Scott,Cindy Hyde-Smith,1
Rick Scott,Mike Braun,1
Rick Scott,David Alfred Perdue,1
Rick Scott,Tim Scott,1
Rick Scott,Steve Daines,1
Rick Scott,Thomas Roland Tillis,1
Rick Scott,Richard Craig Shelby,1
Rick Scott,John Boozman,1
Rick Scott,Mitt Romney,1
Rick Scott,Jim Inhofe,1
Rick Scott,Ben Sasse,1
Rick Scott,Pat Toomey,1
John Boozman,Marco Rubio,1
John Boozman,John R. Thune,1
John Boozman,Michael D. Crapo,1
John Boozman,Tom Cotton,1
John Boozman,Joe Manchin,1
John Boozman,Richard Burr,1
John Boozman,Doug Jones,1
John Boozman,Todd Young,1
John Boozman,John Cornyn,1
John Boozman,Ted Cruz,1
John Boozman,Josh Hawley,1
John Boozman,Rob Portman,1
John Boozman,Mike Rounds,1
John Boozman,John Barrasso,1
John Boozman,Deb Fischer,1
John Boozman,Jon Tester,1
John Boozman,Marsha Blackburn,1
John Boozman,Cindy Hyde-Smith,1
John Boozman,Martha Mcsally,1
John Boozman,Roy Blunt,1
John Boozman,Mike Braun,1
John Boozman,Roger F. Wicker,1
John Boozman,Dan Sullivan,1
John Boozman,David Alfred Perdue,1
John Boozman,Pat Roberts,1
John Boozman,Michael B. Enzi,1
John Boozman,Tim Scott,1
John Boozman,Susan Margaret Collins,1
John Boozman,John Neely Kennedy,1
John Boozman,Steve Daines,1
John Boozman,James Lankford,1
John Boozman,Joni Ernst,1
John Boozman,Thomas Roland Tillis,1
John Boozman,Shelley Moore Capito,1
John Boozman,Kevin Cramer,1
John Boozman,John Hoeven,1
John Boozman,Richard Craig Shelby,1
John Boozman,Rick Scott,1
John Boozman,Bill Cassidy,1
John Boozman,Cory Gardner,1
John Boozman,Mitt Romney,1
John Boozman,Jim Inhofe,1
John Boozman,Jerry Moran,1
John Boozman,Pat Toomey,1
John Boozman,Lamar Alexander,1
John Boozman,Kyrsten Sinema,1
John Boozman,Lindsey O. Graham,1
John Boozman,James E. Risch,1
John Boozman,Johnny Isakson,1
Bill Cassidy,John Cornyn,1
Bill Cassidy,Deb Fischer,1
Bill Cassidy,Cindy Hyde-Smith,1
Bill Cassidy,Roy Blunt,1
Bill Cassidy,Roger F. Wicker,1
Bill Cassidy,David Alfred Perdue,1
Bill Cassidy,Pat Roberts,1
Bill Cassidy,Tim Scott,1
Bill Cassidy,John Neely Kennedy,1
Bill Cassidy,Steve Daines,1
Bill Cassidy,James Lankford,1
Bill Cassidy,Thomas Roland Tillis,1
Bill Cassidy,Kevin Cramer,1
Bill Cassidy,Richard Craig Shelby,1
Bill Cassidy,John Boozman,1
Bill Cassidy,Jim Inhofe,1
Bill Cassidy,Jerry Moran,1
Michael F. Bennet,Jeff Merkley,1
Michael F. Bennet,Gary C. Peters,1
Michael F. Bennet,Elizabeth A. Warren,1
Michael F. Bennet,Sheldon Whitehouse,1
Michael F. Bennet,Tammy Baldwin,1
Michael F. Bennet,Angus King,1
Michael F. Bennet,Deborah Ann Stabenow,1
Michael F. Bennet,Tammy Duckworth,1
Michael F. Bennet,Richard J. Durbin,1
Michael F. Bennet,Cory A. Booker,1
Michael F. Bennet,Bernard Sanders,1
Michael F. Bennet,Edward J. Markey,1
Michael F. Bennet,Robert Menendez,1
Michael F. Bennet,Bob Casey,1
Michael F. Bennet,Sherrod Brown,1
Michael F. Bennet,Tom Udall,1
Michael F. Bennet,Charles E. Schumer,1
Michael F. Bennet,Catherine Cortez Masto,1
Michael F. Bennet,Jon Tester,1
Michael F. Bennet,Richard Blumenthal,1
Michael F. Bennet,Jeanne Shaheen,1
Michael F. Bennet,Christopher A. Coons,1
Michael F. Bennet,Kamala D. Harris,1
Michael F. Bennet,Chris Van Hollen,1
Michael F. Bennet,Christopher Murphy,1
Michael F. Bennet,Mark R. Warner,1
Michael F. Bennet,Benjamin L. Cardin,1
Michael F. Bennet,Timothy Kaine,1
Michael F. Bennet,Brian Schatz,1
Michael F. Bennet,Patty Murray,1
Michael F. Bennet,Ron Wyden,1
Michael F. Bennet,Margaret Wood Hassan,1
Michael F. Bennet,Tina Smith,1
Michael F. Bennet,Mazie K. Hirono,1
Michael F. Bennet,Martin Heinrich,1
Michael F. Bennet,Kirsten E. Gillibrand,1
Michael F. Bennet,Amy Klobuchar,1
Michael F. Bennet,Patrick Joseph Leahy,1
Michael F. Bennet,Dianne Feinstein,1
Michael F. Bennet,John F. Reed,1
Michael F. Bennet,Maria Cantwell,1
Michael F. Bennet,Thomas R. Carper,1
Michael F. Bennet,Jacklyn Rosen,1
Kirsten E. Gillibrand,Jeff Merkley,1
Kirsten E. Gillibrand,Elizabeth A. Warren,1
Kirsten E. Gillibrand,Sheldon Whitehouse,1
Kirsten E. Gillibrand,Tammy Baldwin,1
Kirsten E. Gillibrand,Deborah Ann Stabenow,1
Kirsten E. Gillibrand,Tammy Duckworth,1
Kirsten E. Gillibrand,Richard J. Durbin,1
Kirsten E. Gillibrand,Cory A. Booker,1
Kirsten E. Gillibrand,Bernard Sanders,1
Kirsten E. Gillibrand,Edward J. Markey,1
Kirsten E. Gillibrand,Robert Menendez,1
Kirsten E. Gillibrand,Bob Casey,1
Kirsten E. Gillibrand,Sherrod Brown,1
Kirsten E. Gillibrand,Tom Udall,1
Kirsten E. Gillibrand,Charles E. Schumer,1
Kirsten E. Gillibrand,Catherine Cortez Masto,1
Kirsten E. Gillibrand,Richard Blumenthal,1
Kirsten E. Gillibrand,Jeanne Shaheen,1
Kirsten E. Gillibrand,Christopher A. Coons,1
Kirsten E. Gillibrand,Kamala D. Harris,1
Kirsten E. Gillibrand,Chris Van Hollen,1
Kirsten E. Gillibrand,Christopher Murphy,1
Kirsten E. Gillibrand,Benjamin L. Cardin,1
Kirsten E. Gillibrand,Timothy Kaine,1
Kirsten E. Gillibrand,Brian Schatz,1
Kirsten E. Gillibrand,Patty Murray,1
Kirsten E. Gillibrand,Ron Wyden,1
Kirsten E. Gillibrand,Margaret Wood Hassan,1
Kirsten E. Gillibrand,Tina Smith,1
Kirsten E. Gillibrand,Mazie K. Hirono,1
Kirsten E. Gillibrand,Martin Heinrich,1
Kirsten E. Gillibrand,Michael F. Bennet,1
Kirsten E. Gillibrand,Amy Klobuchar,1
Kirsten E. Gillibrand,Patrick Joseph Leahy,1
Kirsten E. Gillibrand,Dianne Feinstein,1
Kirsten E. Gillibrand,John F. Reed,1
Kirsten E. Gillibrand,Maria Cantwell,1
Kirsten E. Gillibrand,Thomas R. Carper,1
Kirsten E. Gillibrand,Jacklyn Rosen,1
Cory Gardner,Michael D. Crapo,1
Cory Gardner,John Boozman,1
Cory Gardner,Mitt Romney,1
Cory Gardner,James E. Risch,1
Lisa Murkowski,Dan Sullivan,1
Lisa Murkowski,Kevin Cramer,1
Amy Klobuchar,Jeff Merkley,1
Amy Klobuchar,Gary C. Peters,1
Amy Klobuchar,Elizabeth A. Warren,1
Amy Klobuchar,Sheldon Whitehouse,1
Amy Klobuchar,Tammy Baldwin,1
Amy Klobuchar,Angus King,1
Amy Klobuchar,Deborah Ann Stabenow,1
Amy Klobuchar,Tammy Duckworth,1
Amy Klobuchar,Richard J. Durbin,1
Amy Klobuchar,Cory A. Booker,1
Amy Klobuchar,Doug Jones,1
Amy Klobuchar,Bernard Sanders,1
Amy Klobuchar,Edward J. Markey,1
Amy Klobuchar,Robert Menendez,1
Amy Klobuchar,Bob Casey,1
Amy Klobuchar,Sherrod Brown,1
Amy Klobuchar,Tom Udall,1
Amy Klobuchar,Charles E. Schumer,1
Amy Klobuchar,Catherine Cortez Masto,1
Amy Klobuchar,Richard Blumenthal,1
Amy Klobuchar,Jeanne Shaheen,1
Amy Klobuchar,Christopher A. Coons,1
Amy Klobuchar,Kamala D. Harris,1
Amy Klobuchar,Chris Van Hollen,1
Amy Klobuchar,Christopher Murphy,1
Amy Klobuchar,Mark R. Warner,1
Amy Klobuchar,Benjamin L. Cardin,1
Amy Klobuchar,Timothy Kaine,1
Amy Klobuchar,Brian Schatz,1
Amy Klobuchar,Patty Murray,1
Amy Klobuchar,Ron Wyden,1
Amy Klobuchar,Margaret Wood Hassan,1
Amy Klobuchar,Tina Smith,1
Amy Klobuchar,Mazie K. Hirono,1
Amy Klobuchar,Martin Heinrich,1
Amy Klobuchar,Michael F. Bennet,1
Amy Klobuchar,Kirsten E. Gillibrand,1
Amy Klobuchar,Patrick Joseph Leahy,1
Amy Klobuchar,Dianne Feinstein,1
Amy Klobuchar,John F. Reed,1
Amy Klobuchar,Maria Cantwell,1
Amy Klobuchar,Thomas R. Carper,1
Amy Klobuchar,Jacklyn Rosen,1
Patrick Joseph Leahy,Jeff Merkley,1
Patrick Joseph Leahy,Gary C. Peters,1
Patrick Joseph Leahy,Elizabeth A. Warren,1
Patrick Joseph Leahy,Sheldon Whitehouse,1
Patrick Joseph Leahy,Tammy Baldwin,1
Patrick Joseph Leahy,Angus King,1
Patrick Joseph Leahy,Deborah Ann Stabenow,1
Patrick Joseph Leahy,Tammy Duckworth,1
Patrick Joseph Leahy,Richard J. Durbin,1
Patrick Joseph Leahy,Cory A. Booker,1
Patrick Joseph Leahy,Bernard Sanders,1
Patrick Joseph Leahy,Edward J. Markey,1
Patrick Joseph Leahy,Robert Menendez,1
Patrick Joseph Leahy,Bob Casey,1
Patrick Joseph Leahy,Sherrod Brown,1
Patrick Joseph Leahy,Tom Udall,1
Patrick Joseph Leahy,Charles E. Schumer,1
Patrick Joseph Leahy,Catherine Cortez Masto,1
Patrick Joseph Leahy,Richard Blumenthal,1
Patrick Joseph Leahy,Jeanne Shaheen,1
