,From,To,edge
1338,Ted S. Yoho,Louie Gohmert,1
1339,Ted S. Yoho,J. Randy Forbes,1
1344,Ted S. Yoho,Charles W. Boustany,1
1345,Ted S. Yoho,Bill Posey,1
1346,Ted S. Yoho,Chris Stewart,1
1350,Ted S. Yoho,Tim Murphy,1
1355,Ted S. Yoho,Stevan Pearce,1
1356,Ted S. Yoho,Robert W. Goodlatte,1
1357,Ted S. Yoho,Mark Walker,1
1359,Ted S. Yoho,Doug Lamborn,1
1360,Ted S. Yoho,Ileana Ros-Lehtinen,1
1363,Ted S. Yoho,Jeff Miller,1
1365,Ted S. Yoho,Rob Bishop,1
1366,Ted S. Yoho,Paul A. Gosar,1
1368,Ted S. Yoho,Harold Rogers,1
1372,Ted S. Yoho,Glenn Thompson,1
1374,Ted S. Yoho,Kevin Brady,1
1377,Ted S. Yoho,Ted Poe,1
1383,Ted S. Yoho,Dennis A. Ross,1
1386,Ted S. Yoho,Michael T. Mccaul,1
1389,Ted S. Yoho,Bill Flores,1
1392,Ted S. Yoho,Luke Messer,1
1394,Ted S. Yoho,Darin Lahood,1
1395,Ted S. Yoho,K. Michael Conaway,1
1397,Ted S. Yoho,Robert J. Wittman,1
1399,Ted S. Yoho,Matt Salmon,1
1401,Ted S. Yoho,William M. Thornberry,1
1405,Ted S. Yoho,Bill Shuster,1
1407,Ted S. Yoho,Pete Olson,1
1409,Ted S. Yoho,Mick Mulvaney,1
1412,Ted S. Yoho,Reid J. Ribble,1
1413,Ted S. Yoho,Sam Johnson,1
1421,Ted S. Yoho,Dan Benishek,1
1422,Ted S. Yoho,Joseph R. Pitts,1
1423,Ted S. Yoho,Doug Collins,1
1429,Ted S. Yoho,Mike Bishop,1
1432,Ted S. Yoho,Marsha Blackburn,1
1437,Ted S. Yoho,Duncan D. Hunter,1
1438,Ted S. Yoho,Roger Williams,1
1440,Ted S. Yoho,E. Scott Rigell,1
1443,Ted S. Yoho,Scott Garrett,1
1444,Ted S. Yoho,Joe Wilson,1
1445,Ted S. Yoho,Martha Roby,1
1447,Ted S. Yoho,Joe L. Barton,1
1450,Ted S. Yoho,Mark Meadows,1
1451,Ted S. Yoho,Steve Chabot,1
1454,Ted S. Yoho,Rob Woodall,1
1455,Ted S. Yoho,Garret Graves,1
1460,Ted S. Yoho,David P. Roe,1
1461,Ted S. Yoho,Andy Barr,1
1462,Ted S. Yoho,Bradley Byrne,1
1463,Ted S. Yoho,Jim Bridenstine,1
1464,Ted S. Yoho,Steve King,1
1465,Ted S. Yoho,Vern Buchanan,1
1466,Ted S. Yoho,Tom Mcclintock,1
1467,Ted S. Yoho,Steven M. Palazzo,1
